source_file,field_name,data_type,description
users.csv,user_id,string,Unique mobile app user identifier.
users.csv,signup_ts,timestamp,Timestamp when the user created an account.
users.csv,country_code,string,User country at signup.
users.csv,device_os,string,Mobile operating system recorded at signup.
users.csv,acquisition_channel,string,First-touch marketing channel.
users.csv,app_version_at_signup,string,Mobile app version recorded at signup.
users.csv,marketing_consent,integer,1 if marketing consent was recorded and 0 otherwise.
app_events.csv,event_id,string,Client-generated event identifier.
app_events.csv,user_id,string,Event user identifier.
app_events.csv,session_id,string,Client-side session identifier.
app_events.csv,event_ts,timestamp,Timestamp when an event was emitted.
app_events.csv,event_name,string,App action such as app_open prompt_submit or paywall_view.
app_events.csv,screen_name,string,App screen associated with the event when available.
app_events.csv,app_version,string,App version reported by the client at event time.
app_events.csv,device_os,string,Device operating system recorded by the client.
app_events.csv,is_test_event,integer,1 for test or debug traffic and 0 for product traffic.
agent_interactions.csv,interaction_id,string,Unique agent conversation turn identifier.
agent_interactions.csv,user_id,string,User associated with an agent request.
agent_interactions.csv,session_id,string,Client session associated with an agent request.
agent_interactions.csv,request_ts,timestamp,Time at which a user sent an agent request.
agent_interactions.csv,intent,string,Classified intent of the user request.
agent_interactions.csv,tool_used,string,Tool used by the agent when recorded.
agent_interactions.csv,model_name,string,Model routing label.
agent_interactions.csv,input_tokens,integer,Input tokens consumed by the interaction.
agent_interactions.csv,output_tokens,integer,Output tokens generated by the interaction.
agent_interactions.csv,latency_ms,integer,End-to-end latency in milliseconds.
agent_interactions.csv,response_status,string,Interaction outcome such as success timeout or error.
agent_interactions.csv,resolved_by_agent,integer,1 if the issue was resolved without a human handoff.
agent_interactions.csv,escalated_to_human,integer,1 if the user was handed off to human support.
agent_interactions.csv,satisfaction_score,integer,Optional post-interaction rating from 1 to 5 when available.
subscriptions.csv,subscription_id,string,Subscription lifecycle record identifier.
subscriptions.csv,user_id,string,User associated with the subscription lifecycle record.
subscriptions.csv,trial_started_at,timestamp,Start of free trial when applicable.
subscriptions.csv,paid_started_at,timestamp,Start of paid plan when applicable.
subscriptions.csv,cancelled_at,timestamp,Cancellation timestamp when applicable.
subscriptions.csv,monthly_price_usd,decimal,Monthly subscription price for trial or paid users when applicable.
subscriptions.csv,subscription_status,string,Subscription status such as never_subscribed trial active or cancelled.
